subid,sex,agebin,task,item,q,q_kind,answer,task_num,site,age
MC-canada_25,M,yng,moral,push,1,2,Y,moral1.2,canada,6.606433949
MC-canada_25,M,yng,moral,push,1,3,N,moral1.3,canada,6.606433949
MC-canada_25,M,yng,moral,namecall,2,0,3,moral2,canada,6.606433949
MC-canada_25,M,yng,moral,namecall,2,1,N,moral2.1,canada,6.606433949
MC-canada_25,M,yng,moral,namecall,2,2,Y,moral2.2,canada,6.606433949
MC-canada_25,M,yng,moral,namecall,2,3,N,moral2.3,canada,6.606433949
MC-canada_25,M,yng,moral,rip,3,0,1,moral3,canada,6.606433949
MC-canada_25,M,yng,moral,rip,3,1,N,moral3.1,canada,6.606433949
MC-canada_25,M,yng,moral,rip,3,2,Y,moral3.2,canada,6.606433949
MC-canada_25,M,yng,moral,rip,3,3,N,moral3.3,canada,6.606433949
MC-canada_26,F,yng,moral,push,1,0,1,moral1,canada,5.571526352
MC-canada_26,F,yng,moral,push,1,1,N,moral1.1,canada,5.571526352
MC-canada_26,F,yng,moral,push,1,2,N,moral1.2,canada,5.571526352
MC-canada_26,F,yng,moral,push,1,3,N,moral1.3,canada,5.571526352
MC-canada_26,F,yng,moral,namecall,2,0,1,moral2,canada,5.571526352
MC-canada_26,F,yng,moral,namecall,2,1,N,moral2.1,canada,5.571526352
MC-canada_26,F,yng,moral,namecall,2,2,N,moral2.2,canada,5.571526352
MC-canada_26,F,yng,moral,namecall,2,3,N,moral2.3,canada,5.571526352
MC-canada_26,F,yng,moral,rip,3,0,1,moral3,canada,5.571526352
MC-canada_26,F,yng,moral,rip,3,1,N,moral3.1,canada,5.571526352
MC-canada_26,F,yng,moral,rip,3,2,N,moral3.2,canada,5.571526352
MC-canada_26,F,yng,moral,rip,3,3,N,moral3.3,canada,5.571526352
MC-canada_27,F,yng,moral,push,1,0,1,moral1,canada,5.524982888
MC-canada_27,F,yng,moral,push,1,1,Y,moral1.1,canada,5.524982888
MC-canada_27,F,yng,moral,push,1,2,Y,moral1.2,canada,5.524982888
MC-canada_27,F,yng,moral,push,1,3,Y,moral1.3,canada,5.524982888
MC-canada_27,F,yng,moral,namecall,2,0,2,moral2,canada,5.524982888
MC-canada_27,F,yng,moral,namecall,2,1,Y,moral2.1,canada,5.524982888
MC-canada_27,F,yng,moral,namecall,2,2,Y,moral2.2,canada,5.524982888
MC-canada_27,F,yng,moral,namecall,2,3,Y,moral2.3,canada,5.524982888
MC-canada_27,F,yng,moral,rip,3,0,2,moral3,canada,5.524982888
MC-canada_27,F,yng,moral,rip,3,1,N,moral3.1,canada,5.524982888
MC-canada_27,F,yng,moral,rip,3,2,N,moral3.2,canada,5.524982888
MC-canada_27,F,yng,moral,rip,3,3,N,moral3.3,canada,5.524982888
MC-canada_28,F,yng,moral,push,1,0,2,moral1,canada,5.719370294
MC-canada_28,F,yng,moral,push,1,1,N,moral1.1,canada,5.719370294
MC-canada_28,F,yng,moral,push,1,2,N,moral1.2,canada,5.719370294
MC-canada_28,F,yng,moral,push,1,3,N,moral1.3,canada,5.719370294
MC-canada_28,F,yng,moral,namecall,2,0,2,moral2,canada,5.719370294
MC-canada_28,F,yng,moral,namecall,2,1,N,moral2.1,canada,5.719370294
MC-canada_28,F,yng,moral,namecall,2,2,N,moral2.2,canada,5.719370294
MC-canada_28,F,yng,moral,namecall,2,3,N,moral2.3,canada,5.719370294
MC-canada_28,F,yng,moral,rip,3,0,1,moral3,canada,5.719370294
MC-canada_28,F,yng,moral,rip,3,1,N,moral3.1,canada,5.719370294
MC-canada_28,F,yng,moral,rip,3,2,N,moral3.2,canada,5.719370294
MC-canada_28,F,yng,moral,rip,3,3,N,moral3.3,canada,5.719370294
MC-canada_29,M,yng,moral,push,1,0,2,moral1,canada,5.133470226
MC-canada_29,M,yng,moral,push,1,1,Y,moral1.1,canada,5.133470226
MC-canada_29,M,yng,moral,push,1,2,N,moral1.2,canada,5.133470226
MC-canada_29,M,yng,moral,push,1,3,N,moral1.3,canada,5.133470226
MC-canada_29,M,yng,moral,namecall,2,0,1,moral2,canada,5.133470226
MC-canada_29,M,yng,moral,namecall,2,1,N,moral2.1,canada,5.133470226
MC-canada_29,M,yng,moral,namecall,2,2,N,moral2.2,canada,5.133470226
MC-canada_29,M,yng,moral,namecall,2,3,N,moral2.3,canada,5.133470226
MC-canada_29,M,yng,moral,rip,3,0,1,moral3,canada,5.133470226
MC-canada_29,M,yng,moral,rip,3,1,N,moral3.1,canada,5.133470226
MC-canada_29,M,yng,moral,rip,3,2,Y,moral3.2,canada,5.133470226
MC-canada_29,M,yng,moral,rip,3,3,N,moral3.3,canada,5.133470226
